  1    2   0  4.6600075  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    8.110399659
           1  'C  '    10947.3568039781     
  10   6   1  -4.31218106404E-04   0.00000000000E+00
   1   7   1  -1.50466760649E-04   0.00000000000E+00
   2   7   1  -9.71683708086E-05   0.00000000000E+00
   3   7   1   6.55300499251E-04   0.00000000000E+00
   4   7   1   6.04026700795E-04   0.00000000000E+00
   5   7   1   6.55300499251E-04   0.00000000000E+00
   6   7   1  -9.71683708086E-05   0.00000000000E+00
   7   7   1  -1.50466760649E-04   0.00000000000E+00
   8   7   1   8.57287253580E-04   0.00000000000E+00
   9   7   1  -2.43284511808E-03   0.00000000000E+00
  10   7   1   8.57287253580E-04   0.00000000000E+00
   1   8   1  -1.60867331080E-03   0.00000000000E+00
   2   8   1   1.93237841711E-03   0.00000000000E+00
   3   8   1   1.27688564756E-03   0.00000000000E+00
   4   8   1   3.30451240097E-04   0.00000000000E+00
   5   8   1   3.30451240097E-04   0.00000000000E+00
   6   8   1   1.27688564756E-03   0.00000000000E+00
   7   8   1   1.93237841711E-03   0.00000000000E+00
   8   8   1  -1.60867331080E-03   0.00000000000E+00
   9   8   1  -1.54430689861E-03   0.00000000000E+00
  10   8   1  -1.54430689861E-03   0.00000000000E+00
   1   9   1   1.46427314974E-02   0.00000000000E+00
   2   9   1   6.82131021761E-03   0.00000000000E+00
   3   9   1   7.47819575270E-04   0.00000000000E+00
   4   9   1   1.51146420815E-04   0.00000000000E+00
   5   9   1   6.27289675647E-04   0.00000000000E+00
   6   9   1   1.51146420815E-04   0.00000000000E+00
   7   9   1   7.47819575270E-04   0.00000000000E+00
   8   9   1   6.82131021761E-03   0.00000000000E+00
   9   9   1   1.46427314974E-02   0.00000000000E+00
  10   9   1  -4.07369279077E-02   0.00000000000E+00
   1  10   1  -4.43953911953E-01   0.00000000000E+00
   2  10   1   3.49821530870E-03   0.00000000000E+00
   3  10   1  -3.78753254757E-05   0.00000000000E+00
   4  10   1   9.77587042099E-04   0.00000000000E+00
   5  10   1  -3.13089214507E-04   0.00000000000E+00
   6  10   1  -3.13089214507E-04   0.00000000000E+00
   7  10   1   9.77587042099E-04   0.00000000000E+00
   8  10   1  -3.78753254756E-05   0.00000000000E+00
   9  10   1   3.49821530870E-03   0.00000000000E+00
  10  10   1  -4.43953911953E-01   0.00000000000E+00
   1   1   2   1
   1   1   1  -2.18988715600E-01   0.00000000000E+00
   2   1   1   3.14936461073E-03   0.00000000000E+00
   3   1   1   4.73968801802E-03   0.00000000000E+00
   4   1   1   5.65868689265E-04   0.00000000000E+00
   5   1   1   2.41873281977E-04   0.00000000000E+00
   6   1   1   7.14836400000E-04   0.00000000000E+00
   7   1   1   2.41873281977E-04   0.00000000000E+00
   8   1   1   5.65868689265E-04   0.00000000000E+00
   9   1   1   4.73968801802E-03   0.00000000000E+00
  10   1   1   3.14936461073E-03   0.00000000000E+00
   1   2   1  -4.43953911953E-01   0.00000000000E+00
   2   2   1  -4.43953911953E-01   0.00000000000E+00
   3   2   1   3.49821530870E-03   0.00000000000E+00
   4   2   1  -3.78753254756E-05   0.00000000000E+00
   5   2   1   9.77587042099E-04   0.00000000000E+00
   6   2   1  -3.13089214507E-04   0.00000000000E+00
   7   2   1  -3.13089214507E-04   0.00000000000E+00
   8   2   1   9.77587042099E-04   0.00000000000E+00
   9   2   1  -3.78753254757E-05   0.00000000000E+00
  10   2   1   3.49821530870E-03   0.00000000000E+00
   1   3   1   1.46427314974E-02   0.00000000000E+00
   2   3   1  -4.07369279077E-02   0.00000000000E+00
   3   3   1   1.46427314974E-02   0.00000000000E+00
   4   3   1   6.82131021761E-03   0.00000000000E+00
   5   3   1   7.47819575270E-04   0.00000000000E+00
   6   3   1   1.51146420815E-04   0.00000000000E+00
   7   3   1   6.27289675647E-04   0.00000000000E+00
   8   3   1   1.51146420815E-04   0.00000000000E+00
   9   3   1   7.47819575270E-04   0.00000000000E+00
  10   3   1   6.82131021761E-03   0.00000000000E+00
   1   4   1  -1.60867331080E-03   0.00000000000E+00
   2   4   1  -1.54430689861E-03   0.00000000000E+00
   3   4   1  -1.54430689861E-03   0.00000000000E+00
   4   4   1  -1.60867331080E-03   0.00000000000E+00
   5   4   1   1.93237841711E-03   0.00000000000E+00
   6   4   1   1.27688564756E-03   0.00000000000E+00
   7   4   1   3.30451240097E-04   0.00000000000E+00
   8   4   1   3.30451240097E-04   0.00000000000E+00
   9   4   1   1.27688564756E-03   0.00000000000E+00
  10   4   1   1.93237841711E-03   0.00000000000E+00
   1   5   1  -1.50466760649E-04   0.00000000000E+00
   2   5   1   8.57287253580E-04   0.00000000000E+00
   3   5   1  -2.43284511808E-03   0.00000000000E+00
   4   5   1   8.57287253580E-04   0.00000000000E+00
   5   5   1  -1.50466760649E-04   0.00000000000E+00
   6   5   1  -9.71683708086E-05   0.00000000000E+00
   7   5   1   6.55300499251E-04   0.00000000000E+00
   8   5   1   6.04026700795E-04   0.00000000000E+00
   9   5   1   6.55300499251E-04   0.00000000000E+00
  10   5   1  -9.71683708086E-05   0.00000000000E+00
   1   6   1   6.09770600000E-04   0.00000000000E+00
   2   6   1  -4.31218106404E-04   0.00000000000E+00
   3   6   1  -1.48856292204E-04   0.00000000000E+00
   4   6   1  -1.48856292204E-04   0.00000000000E+00
   5   6   1  -4.31218106404E-04   0.00000000000E+00
   6   6   1   6.09770600000E-04   0.00000000000E+00
   7   6   1   8.35888529834E-05   0.00000000000E+00
   8   6   1   2.68444945624E-04   0.00000000000E+00
   9   6   1   2.68444945624E-04   0.00000000000E+00
  10   6   1   8.35888529834E-05   0.00000000000E+00
   1   7   1  -1.19876388801E-04   0.00000000000E+00
   2   7   1  -1.96912025763E-04   0.00000000000E+00
   3   7   1   3.08100788911E-04   0.00000000000E+00
   4   7   1  -1.85954836305E-04   0.00000000000E+00
   5   7   1   3.08100788911E-04   0.00000000000E+00
   6   7   1  -1.96912025763E-04   0.00000000000E+00
   7   7   1  -1.19876388801E-04   0.00000000000E+00
   8   7   1   4.40850735058E-04   0.00000000000E+00
   9   7   1   5.94034799840E-05   0.00000000000E+00
  10   7   1   4.40850735058E-04   0.00000000000E+00
   1   8   1  -3.56675725376E-04   0.00000000000E+00
   2   8   1   2.17439323502E-04   0.00000000000E+00
   3   8   1   1.01410904932E-04   0.00000000000E+00
   4   8   1   8.82835781617E-06   0.00000000000E+00
   5   8   1   8.82835781617E-06   0.00000000000E+00
   6   8   1   1.01410904932E-04   0.00000000000E+00
   7   8   1   2.17439323502E-04   0.00000000000E+00
   8   8   1  -3.56675725376E-04   0.00000000000E+00
   9   8   1   3.45274022546E-04   0.00000000000E+00
  10   8   1   3.45274022546E-04   0.00000000000E+00
   1   9   1  -6.12959747927E-04   0.00000000000E+00
   2   9   1   3.55433937482E-05   0.00000000000E+00
   3   9   1  -3.65683263432E-04   0.00000000000E+00
   4   9   1   3.79824575757E-04   0.00000000000E+00
   5   9   1   4.79432562448E-04   0.00000000000E+00
   6   9   1   3.79824575757E-04   0.00000000000E+00
   7   9   1  -3.65683263432E-04   0.00000000000E+00
   8   9   1   3.55433937482E-05   0.00000000000E+00
   9   9   1  -6.12959747927E-04   0.00000000000E+00
  10   9   1  -4.67531356751E-04   0.00000000000E+00
   1  10   1  -1.17369236107E-02   0.00000000000E+00
   2  10   1  -1.75571450661E-03   0.00000000000E+00
   3  10   1   8.89698984866E-04   0.00000000000E+00
   4  10   1   1.01002023397E-03   0.00000000000E+00
   5  10   1   2.37086062016E-04   0.00000000000E+00
   6  10   1   2.37086062016E-04   0.00000000000E+00
   7  10   1   1.01002023397E-03   0.00000000000E+00
   8  10   1   8.89698984866E-04   0.00000000000E+00
   9  10   1  -1.75571450661E-03   0.00000000000E+00
  10  10   1  -1.17369236107E-02   0.00000000000E+00
   1   1   2   2
   1   1   1   1.27857526000E+00   0.00000000000E+00
   2   1   1  -9.61312367936E-02   0.00000000000E+00
   3   1   1  -1.90484975827E-03   0.00000000000E+00
   4   1   1  -1.22833440636E-03   0.00000000000E+00
   5   1   1  -3.95276241734E-04   0.00000000000E+00
   6   1   1   4.78564400000E-04   0.00000000000E+00
   7   1   1  -3.95276241734E-04   0.00000000000E+00
   8   1   1  -1.22833440636E-03   0.00000000000E+00
   9   1   1  -1.90484975827E-03   0.00000000000E+00
  10   1   1  -9.61312367936E-02   0.00000000000E+00
   1   2   1   1.75079591181E-02   0.00000000000E+00
   2   2   1   1.75079591181E-02   0.00000000000E+00
   3   2   1  -9.18874848947E-03   0.00000000000E+00
   4   2   1  -2.28641672396E-03   0.00000000000E+00
   5   2   1  -1.58681340491E-04   0.00000000000E+00
   6   2   1  -5.21099096818E-04   0.00000000000E+00
   7   2   1  -5.21099096818E-04   0.00000000000E+00
   8   2   1  -1.58681340491E-04   0.00000000000E+00
   9   2   1  -2.28641672396E-03   0.00000000000E+00
  10   2   1  -9.18874848947E-03   0.00000000000E+00
   1   3   1   3.98820784691E-03   0.00000000000E+00
   2   3   1  -2.66819837353E-03   0.00000000000E+00
   3   3   1   3.98820784691E-03   0.00000000000E+00
   4   3   1  -1.08437477410E-04   0.00000000000E+00
   5   3   1  -1.56316593440E-03   0.00000000000E+00
   6   3   1  -6.07930537616E-04   0.00000000000E+00
   7   3   1  -2.25359855065E-04   0.00000000000E+00
   8   3   1  -6.07930537616E-04   0.00000000000E+00
   9   3   1  -1.56316593440E-03   0.00000000000E+00
  10   3   1  -1.08437477410E-04   0.00000000000E+00
   1   4   1  -5.09638918053E-04   0.00000000000E+00
   2   4   1   5.64471540491E-04   0.00000000000E+00
   3   4   1   5.64471540491E-04   0.00000000000E+00
   4   4   1  -5.09638918053E-04   0.00000000000E+00
   5   4   1   4.51301923956E-04   0.00000000000E+00
   6   4   1  -2.59838703182E-04   0.00000000000E+00
   7   4   1  -5.45125310531E-04   0.00000000000E+00
   8   4   1  -5.45125310531E-04   0.00000000000E+00
   9   4   1  -2.59838703182E-04   0.00000000000E+00
  10   4   1   4.51301923956E-04   0.00000000000E+00
   1   5   1   7.37861530859E-05   0.00000000000E+00
   2   5   1   3.69253277410E-04   0.00000000000E+00
   3   5   1  -5.57232144935E-04   0.00000000000E+00
   4   5   1   3.69253277410E-04   0.00000000000E+00
   5   5   1   7.37861530858E-05   0.00000000000E+00
   6   5   1  -4.14116662384E-04   0.00000000000E+00
   7   5   1   1.97309343981E-05   0.00000000000E+00
   8   5   1  -3.14054826474E-04   0.00000000000E+00
   9   5   1   1.97309343981E-05   0.00000000000E+00
  10   5   1  -4.14116662384E-04   0.00000000000E+00
   1   6   1   4.70851600000E-04   0.00000000000E+00
   2   6   1  -2.78136091840E-04   0.00000000000E+00
   3   6   1  -1.42648708160E-04   0.00000000000E+00
   4   6   1  -1.42648708160E-04   0.00000000000E+00
   5   6   1  -2.78136091840E-04   0.00000000000E+00
   6   6   1   4.70851600000E-04   0.00000000000E+00
   7   6   1  -2.78136091840E-04   0.00000000000E+00
   8   6   1  -1.42648708160E-04   0.00000000000E+00
   9   6   1  -1.42648708160E-04   0.00000000000E+00
  10   6   1  -2.78136091840E-04   0.00000000000E+00
   1   7   1   7.37861530859E-05   0.00000000000E+00
   2   7   1  -4.14116662384E-04   0.00000000000E+00
   3   7   1   1.97309343981E-05   0.00000000000E+00
   4   7   1  -3.14054826474E-04   0.00000000000E+00
   5   7   1   1.97309343981E-05   0.00000000000E+00
   6   7   1  -4.14116662384E-04   0.00000000000E+00
   7   7   1   7.37861530858E-05   0.00000000000E+00
   8   7   1   3.69253277410E-04   0.00000000000E+00
   9   7   1  -5.57232144935E-04   0.00000000000E+00
  10   7   1   3.69253277410E-04   0.00000000000E+00
   1   8   1  -5.09638918053E-04   0.00000000000E+00
   2   8   1   4.51301923956E-04   0.00000000000E+00
   3   8   1  -2.59838703182E-04   0.00000000000E+00
   4   8   1  -5.45125310531E-04   0.00000000000E+00
   5   8   1  -5.45125310531E-04   0.00000000000E+00
   6   8   1  -2.59838703182E-04   0.00000000000E+00
   7   8   1   4.51301923956E-04   0.00000000000E+00
   8   8   1  -5.09638918053E-04   0.00000000000E+00
   9   8   1   5.64471540491E-04   0.00000000000E+00
  10   8   1   5.64471540491E-04   0.00000000000E+00
   1   9   1   3.98820784691E-03   0.00000000000E+00
   2   9   1  -1.08437477410E-04   0.00000000000E+00
   3   9   1  -1.56316593440E-03   0.00000000000E+00
   4   9   1  -6.07930537616E-04   0.00000000000E+00
